id,name,type,github,size_csv,size_zip,url
ydpe-tdbn,Census Response Rates by City,dataset,True,180.44,30.87,https://internal.chattadata.org/api/views/ydpe-tdbn/rows.csv?accessType=DOWNLOAD
kntn-ff4j,Hamilton County Zip Code Populations,dataset,True,0.17,0.05,https://internal.chattadata.org/api/views/kntn-ff4j/rows.csv?accessType=DOWNLOAD
fedh-4gj4,Hamilton County Cases by Zip Code,dataset,True,87.53,21.68,https://internal.chattadata.org/api/views/fedh-4gj4/rows.csv?accessType=DOWNLOAD
89n8-dwxx,Hamilton County Health Department COVID-19 Data,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/89n8-dwxx/rows.csv?accessType=DOWNLOAD
kckf-yycs,Unique Locations,filter,True,1.37,0.39,https://internal.chattadata.org/api/views/kckf-yycs/rows.csv?accessType=DOWNLOAD
6v8k-2rhk,SafeGraph POI Visitor Count,dataset,True,243.53,18.29,https://internal.chattadata.org/api/views/6v8k-2rhk/rows.csv?accessType=DOWNLOAD
7axh-k8jh,Street Resurfacing,dataset,True,55.94,7.46,https://internal.chattadata.org/api/views/7axh-k8jh/rows.csv?accessType=DOWNLOAD
hx9e-czkb,Census Tract Unemployment Rate 2013 - 2018,dataset,True,0.71,0.16,https://internal.chattadata.org/api/views/hx9e-czkb/rows.csv?accessType=DOWNLOAD
k66t-kwyr,Capital Project Phases Dataset - Staging,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/k66t-kwyr/rows.csv?accessType=DOWNLOAD
k7u5-cfs3,Intersections,dataset,True,0.37,0.09,https://internal.chattadata.org/api/views/k7u5-cfs3/rows.csv?accessType=DOWNLOAD
9kb7-bs9r,TDOT Traffic Counts,dataset,True,3.35,1.33,https://internal.chattadata.org/api/views/9kb7-bs9r/rows.csv?accessType=DOWNLOAD
mw3f-d2mz,Chattanooga Roadways,dataset,True,7.17,1.75,https://internal.chattadata.org/api/views/mw3f-d2mz/rows.csv?accessType=DOWNLOAD
wpvr-vy57,TN COVID Testing Sites,dataset,True,0.12,0.02,https://internal.chattadata.org/api/views/wpvr-vy57/rows.csv?accessType=DOWNLOAD
278j-tz4u,Tornado Hex Map Data,dataset,True,0.08,0.01,https://internal.chattadata.org/api/views/278j-tz4u/rows.csv?accessType=DOWNLOAD
